nombre,precio,url,imagen,marca,Edad Recomendada,id,descripcion_y,gda,descripcion gda,gda 1,descripcion gda 1,gda 2,descripcion gda 2,descripcion_estandarizada
Lego Recruitment Museo de Venom,412.5,https://jugueton.com.do/lego-recruitment-museo-de-venom-4187812.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187812-1__1749823584.jpg,Lego,,4187812,LEGO RECRUITMENT VENOM'S MUSEUM 6+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"¡Acción a toda velocidad con LEGO® Marvel™: Robo del museo de Venom! Este emocionante set de 36 piezas, ideal para niños desde los 6 años, recrea una escena épica donde Venom intenta escapar con un valioso objeto del museo. ¿Podrá ser detenido a tiempo? Compacto y fácil de armar, este set es perfecto para jugar en cualquier lugar o para expandir el universo LEGO® Marvel™ con nuevas historias llenas de adrenalina. Incluye 36 piezas. Personaje: Spiderman."
Lego Minecraft Cámara de Juicio,3296.25,https://jugueton.com.do/lego-minecraft-camara-de-juicio-4187811.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187811-1__1749823580.jpg,Lego,8+,4187811,LEGO MINECRAFT TRIAL CHAMBER 8+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"La Cámara de Juicio (21271) es un juguete LEGO® Minecraft® de alta calidad para niños a partir de 8 años. Este juguete de construcción para niños y niñas es un práctico set de videojuego que los lleva a una emocionante búsqueda del tesoro donde los jugadores deberán luchar contra monstruos y esquivar misiles a medida que avanzan.Este creativo juguete de construcción se ambienta en la cámara de pruebas de Minecraft. Incluye dos figuras de esqueletos, dos figuras de brisa, una minifigura de Shadow Hoodie y dos generadores. Hay dos lanzamisiles de disparo rápido (uno en cada pared) y un misil con resorte y gatillo tras la pared trasera. Tres recipientes, cada uno con una esmeralda o un diamante, contienen el codiciado tesoro. Para más posibilidades de juego, una habitación en la parte trasera del set está equipada con una cama y una mesa. Para mayor diversión digital, la app LEGO Builder permite a los niños ampliar, rotar los modelos en 3D y seguir su progreso. Incluye 322 piezas. Ancho aproximado: 8.5"". Colección: Lego Minecraft."
Lego Creator Tocadiscos con Flores,2471.25,https://jugueton.com.do/lego-creator-tocadiscos-con-flores-4187810.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187810-1__1749823576.jpg,Lego,8+,4187810,LEGO CREATOR RECORD PLAYER W/FLOWERS 8+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"Deleita a los amantes de la música, el arte y el diseño con el set de juego LEGO® Creator 3 en 1 Tocadiscos con Flores (31172). Un tocadiscos de estilo retro para niños y niñas a partir de 8 años, que incluye un plato giratorio móvil, un brazo fonocaptor móvil con aguja y dos discos, además de flores extraíbles.Los fans de LEGO pueden elegir entre tres opciones diferentes para construir sets de música: un tocadiscos con flores; una radio de juguete de estilo retro con botones móviles, antena ajustable y flores extraíbles; o un micrófono clásico giratorio con un soporte para flores. Cada modelo puede usarse para un divertido juego de rol o como un atractivo elemento decorativo para el hogar.Los sets LEGO Creator 3 en 1 son el regalo perfecto para niños y ofrecen 3 opciones de construcción diferentes en cada caja. Estos sets de juguetes reconstruibles 3 en 1 les permiten disfrutar del juego imaginativo y ofrecen una impresionante gama que despierta sus mayores pasiones, como vehículos, animales y casas. Ten en cuenta que las maquetas del mismo set no se pueden construir simultáneamente. Incluye 366 piezas. Ancho aproximado: 12"". Colección: Lego Creator."
Lego Creator Animales Salvajes Flamenco Rosado,2171.25,https://jugueton.com.do/lego-creator-animales-salvajes-flamenco-rosado-4187809.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187809-1__1749823571.jpg,Lego,8+,4187809,LEGO CREATOR WILD ANIMAL PINK FLAMINGO,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"Deleita a los niños y niñas amantes de los animales a partir de 8 años con el fantástico set de juguetes LEGO® Creator 3 en 1 Animales Salvajes: Flamenco Rosa (31170). El flamenco rosa de juguete cuenta con una cabeza articulada y se posa sobre una pequeña base cubierta de plantas para que los niños disfruten de horas de juego imaginativo o lo expongan como decoración.Este set LEGO ofrece a los niños tres opciones de construcción diferentes con los mismos ladrillos: un flamenco rosa de juguete con cabeza articulada sobre una base cubierta de plantas, una cacatúa rosa de juguete articulada que gira la cabeza 360 grados, o un adorable ajolote rosa de juguete articulado con plantas subacuáticas. Los tres simpáticos juguetes LEGO transformables de animales son regalos divertidos para niños.Los sets LEGO Creator 3 en 1 inspiran la imaginación de los niños con 3 modelos diferentes para armar en cada caja. Les encantará construir, reconstruir y volver a construir. Los sets 3 en 1 ofrecen una gama de modelos que despiertan las mayores pasiones de los niños, incluyendo vehículos superrápidos, animales asombrosos y casas detalladas. Los modelos no se pueden construir simultáneamente. Incluye 288 piezas. Colección: Lego Creator."
Lego Classic Caja Creativa Genial,2471.25,https://jugueton.com.do/lego-classic-caja-creativa-genial-4187808.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187808-1__1749823565.jpg,Lego,5+,4187808,LEGO CLASSIC COOL CREATIVE BOX 5+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"La Caja Creativa LEGO® Classic Cool (11043) está repleta de modelos para construir y jugar que inspirarán la imaginación de los niños. Con 510 ladrillos de colores, además de ruedas y otros elementos especiales, niños y niñas a partir de 5 años podrán crear y combinar una amplia variedad de juguetes a la moda, así como sus propias creaciones imaginativas.Muchos ladrillos de colores, además de ojos, ruedas y bisagras, maximizan la jugabilidad de este versátil set. Los juguetes para construir incluyen un mando de juego, un dinosaurio con gafas, un teléfono móvil que se abre y se cierra, una patineta, un camión monstruo y un kit de DJ con auriculares. Los modelos se pueden combinar y personalizar para una diversión aún mayor, como ponerle los auriculares al dinosaurio y el dinosaurio a la patineta. Incluye 510 piezas. Ancho aproximado: 3"". Colección: Lego Classic."
Lego Classic Ladrillos Transparentes,2171.25,https://jugueton.com.do/lego-classic-ladrillos-transparentes-4187807.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187807-1__1749823559.jpg,Lego,5+,4187807,LEGO CLASSIC LADRILLOS TRANSPARENTES 5+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"¡La Caja de Magia Transparente LEGO® Classic (11040) ofrece diversión creativa para rato! Con 340 ladrillos de vivos colores, muchos de ellos transparentes, además de elementos especiales variados, este set para construir y exponer da alas a la creatividad de las niñas y los niños con encantadores modelos e infinito juego imaginativo.Los peques empiezan construyendo un corazón, un fantasma, una sirena, una estrella y un unicornio de juguete. A medida que adquieran confianza, avanzarán hacia una nave espacial, una nube, una estrella fugaz, un pájaro, un narval, un helado y una flor. Después, podrán disfrutar de diversión a lo grande dando forma a un monumental castillo con dragón de juguete. Los ladrillos translúcidos, las piezas que representan ojos y bocas, y los ladrillos a modo de colgador para exponer las creaciones aportarán destellos, luminosas transparencias y aún más diversión creativa a los modelos de los peques. Incluye 340 piezas. Ancho aproximado: 3.1"". Colección: Lego Classic."
Lego Disney Hei Hei Moana 2,3371.25,https://jugueton.com.do/lego-disney-hei-hei-moana-2-4187806.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187806-1__1749823555.jpg,Lego,9+,4187806,LEGO DISNEY MOANA 2 HEI HEI 9+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"Lleva la fantasía y la diversión de Moana y Moana 2 de Disney al mundo real con este juguete articulado LEGO® ǀ Disney Moana 2 Heihei (43272). Los fanáticos de los animales, los amantes del cine y los niños de 9 años en adelante disfrutarán creando el colorido modelo construible de su compañero pollo, con cabeza giratoria, alas y plumas de cola articuladas, y luego poniéndolo de pie o colocándolo en el soporte, completo con flores decorativas y una placa con su nombre.Este set de construcción Disney para niñas, niños y fans será un genial juguete de fantasía construible del que todos hablarán, a la vez que ofrece a niños mayores y adultos fans de Disney una construcción más elaborada. Es ideal para regalar, un artículo de exposición genial y compatible con otros sets de construcción LEGO ǀ Disney (se venden por separado) de la gama. Los constructores también disfrutan de una experiencia de construcción intuitiva con la app LEGO Builder, donde pueden ampliar y rotar modelos en 3D, guardar sets y seguir su progreso. Incluye 566 piezas. Colección: Lego Disney."
Lego City Persecución Coche de Policía Todoterreno,3371.25,https://jugueton.com.do/lego-city-persecucion-coche-de-policia-todoterreno-4187675.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187675-1__1749823550.jpg,Lego,6+,4187675,LEGO CITY OFF ROAD POLICE CAR CHASE 6+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"Te esperan emocionantes persecuciones policiales con el set de vehículos LEGO® City Persecución Policial Todoterreno (60449). Diseñado para niños a partir de 6 años, este divertido juego incluye un todoterreno policial, un quad y un dron, además de la potente camioneta de un ladrón y una caja fuerte robada llena de lingotes de oro y diamantes de juguete. Solo tienes que añadir a los 2 policías, los 2 ladrones y una emboscada con una roca rodante para disfrutar de horas de aventuras llenas de acción.Este juego de construcción de juguetes policiales incluye una guía de construcción impresa e instrucciones digitales paso a paso en la aplicación LEGO Builder, un compañero de construcción digital con herramientas intuitivas de zoom y rotación que permiten a los niños visualizar los modelos desde todos los ángulos mientras construyen.Los juguetes LEGO City incluyen vehículos geniales, estructuras realistas y divertidos personajes que inspiran una creatividad sin límites. Los niños pueden combinar este set LEGO City con otros de la gama LEGO City (se venden por separado) para ampliar su mundo de posibilidades de juego. Contiene 467 piezas. Incluye 467 piezas. Ancho aproximado: 5.5"". Colección: Lego City."
Lego Duplo la Casa Club de Mickey Mouse,1687.5,https://jugueton.com.do/lego-duplo-la-casa-club-de-mickey-mouse-4187674.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187674-1__1749823546.jpg,Lego,2+,4187674,LEGO DUPLO DISNEY MICKEY MOUSE CLUB 2+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"Sumerge a los pequeños en la diversión de su programa favorito de Disney Junior con el juguete de construcción Mickey Mouse Clubhouse & Car (10454). Los niños en edad preescolar a partir de 2 años se unen a Toodles para enviar a Mickey Mouse en misiones por la Casa Club mientras giran la ruleta Mousekedoer y eligen una tarea para que la complete.Este juguete de clasificación construible para niños pequeños ayuda a los preescolares a aprender a través del juego creativo. Pueden turnarse con su adulto para girar la rueda y luego usar sus habilidades de emparejamiento para unir las imágenes con los accesorios de colores. Este set de juego de vehículos construibles incluye tareas como ajustar el coche de juguete construible con la llave inglesa o limpiarlo con el cubo y el cepillo. Los pequeños ejercitan la motricidad fina mientras exploran características atractivas, como la ventana con bisagras, el tobogán construible y las ruedas giratorias del coche. Este juguete de construcción LEGO® DUPLO® para niños inspira a los pequeños a usar la imaginación y la autoexpresión para inventar sus propias aventuras creativas en la Casa de Mickey Mouse. Incluye 27 piezas. Ancho aproximado: 9"". Colección: Lego DUPLO. Personaje: Mickey Mouse."
Piramide 210 Piezas,1162.5,https://jugueton.com.do/piramide-210-piezas-4188145.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4188145-1__1749762348.jpg,,7+,4188145,BRICK TRICK PIRAMIDE 210PZAS 7+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"¡Construye la majestuosa Pirámide con el set de 210 piezas de la serie Brick Trick Travel! Perfecto para pequeños y grandes fans de los viajes y la construcción,este set incluye ladrillos cerámicos auténticos y elementos decorativos de madera y cartón. Con hasta un 97% de materiales naturales,es una opción ecológica y sostenible. Gracias a su adhesivo especial soluble en agua,podrás montar y desmontar tu creación tantas veces como quieras,usando solo una gota para unir las piezas. ¡Un regalo ideal para niños desde los 7 años y todos los amantes de los bloques de construcción que sueñan con grandes monumentos! Incluye 210 piezas. Ancho aproximado: 8.94""."
Pagoda 160 Piezas,1421.25,https://jugueton.com.do/pagoda-160-piezas-4188142.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4188142-1__1749762343.jpg,,7+,4188142,BRICK TRICK PAGODA 160PZAS 7+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"¡Descubre la belleza de la arquitectura oriental construyendo tu propia Pagoda con este set de 160 piezas de la serie Brick Trick Travel! Diseñado para niños a partir de 7 años y amantes de los viajes y la construcción,este set incluye ladrillos cerámicos reales,tablas de madera,elementos decorativos de cartón,pintura para personalizar los ladrillos,pegamento,base HDF,pegatinas y detalladas instrucciones de montaje. Fabricado con un 95% de materiales naturales,es una opción ecológica y creativa. ¡Un regalo ideal para pequeños arquitectos que sueñan con explorar el mundo ladrillo a ladrillo! Incluye 160 piezas. Ancho aproximado: 8.94""."
Casa de Verano 120 Piezas,1181.25,https://jugueton.com.do/casa-de-verano-120-piezas-4188144.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4188144-1__1749758177.jpg,,6+,4188144,BRICK TRICK CASA DE VERANO 120PZAS 6+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"¡Construye tu refugio ideal con el set Casa de Verano de 120 piezas de Brick Trick! Utilizando ladrillos cerámicos reales y elementos decorativos,este set permite diseñar y crear una encantadora casa de verano,perfecta para estimular la creatividad y habilidades manuales de los niños. Incluye adhesivo soluble en agua para que las piezas puedan reutilizarse una y otra vez. ¡Un regalo ideal para pequeños constructores a partir de 6 años y todos los fans de la construcción! Incluye 120 piezas."
Granja 130 Piezas,1421.25,https://jugueton.com.do/granja-130-piezas-4188143.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4188143-1__1749758172.jpg,,6+,4188143,BRICK TRICK GRANJA 130 PZAS 6+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"¡Construye la granja de tus sueños con el set Granja de 130 piezas de Brick Trick! Utilizando ladrillos cerámicos reales y elementos decorativos,este set ofrece una experiencia de construcción y modelado única. Los niños pueden cortar,apilar,pegar y pintar libremente,fomentando su creatividad al máximo. Incluye un adhesivo soluble en agua para que las piezas se puedan usar una y otra vez. ¡El regalo perfecto para pequeños constructores a partir de 6 años y todos los amantes de los bloques de construcción! Incluye 130 piezas."
Edificio Empire State 420 Piezas,2246.25,https://jugueton.com.do/edificio-empire-state-420-piezas-4188141.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4188141-1__1749758167.jpg,,7+,4188141,BRICK TRICK EMPIRE STATE 420PZAS 7+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"¡Construye uno de los rascacielos más emblemáticos del mundo con el set Empire State Building de 420 piezas de la serie Brick Trick Travel! Diseñado para niños a partir de 7 años y amantes de la arquitectura,este set incluye ladrillos cerámicos reales y elementos decorativos de madera y cartón. Con hasta un 97% de materiales naturales y un adhesivo especial soluble en agua,podrás montar y desmontar tu creación cuantas veces quieras. ¡Una forma divertida,ecológica y educativa de llevar la magia de Nueva York a casa y convertirte en un verdadero arquitecto! Incluye 420 piezas. Ancho aproximado: 10.47""."
