descripcion_original,descripcion_generada,id,nombre
"¡Acción a toda velocidad con LEGO® Marvel™: Robo del museo de Venom! Este emocionante set de 36 piezas, ideal para niños desde los 6 años, recrea una escena épica donde Venom intenta escapar con un valioso objeto del museo. ¿Podrá ser detenido a tiempo? Compacto y fácil de armar, este set es perfecto para jugar en cualquier lugar o para expandir el universo LEGO® Marvel™ con nuevas historias llenas de adrenalina. Incluye 36 piezas. Personaje: Spiderman.","Sumérgete en la acción trepidante del universo Marvel con el set LEGO® ""Robo del museo de Venom"". Este compacto tesoro de 36 piezas, diseñado para pequeños superhéroes desde los 6 años, te transporta a una emocionante persecución donde Venom intenta escapar con un valioso artefacto. ¿Podrá Spiderman detener al villano simbionte? Despliega tu imaginación, construye escenarios y crea tus propias historias llenas de adrenalina. Perfecto para jugar en cualquier lugar, este set es la puerta de entrada ideal al fascinante mundo LEGO® Marvel™, donde cada pieza es una oportunidad para vivir nuevas aventuras.",4187812,Lego Recruitment Museo de Venom
"La Cámara de Juicio (21271) es un juguete LEGO® Minecraft® de alta calidad para niños a partir de 8 años. Este juguete de construcción para niños y niñas es un práctico set de videojuego que los lleva a una emocionante búsqueda del tesoro donde los jugadores deberán luchar contra monstruos y esquivar misiles a medida que avanzan.Este creativo juguete de construcción se ambienta en la cámara de pruebas de Minecraft. Incluye dos figuras de esqueletos, dos figuras de brisa, una minifigura de Shadow Hoodie y dos generadores. Hay dos lanzamisiles de disparo rápido (uno en cada pared) y un misil con resorte y gatillo tras la pared trasera. Tres recipientes, cada uno con una esmeralda o un diamante, contienen el codiciado tesoro. Para más posibilidades de juego, una habitación en la parte trasera del set está equipada con una cama y una mesa. Para mayor diversión digital, la app LEGO Builder permite a los niños ampliar, rotar los modelos en 3D y seguir su progreso. Incluye 322 piezas. Ancho aproximado: 8.5"". Colección: Lego Minecraft.","Sumérgete en una emocionante aventura Minecraft con el set LEGO ""Cámara de Juicio"" (21271), diseñado para valientes constructores desde los 8 años. Este fascinante conjunto de 322 piezas te transporta a una peligrosa cámara de pruebas llena de desafíos y tesoros. Esquiva misiles, enfrenta esqueletos y brisas, y busca las codiciadas esmeraldas y diamantes ocultos. Con lanzamisiles de disparo rápido, una minifigura de Shadow Hoodie y una acogedora habitación secreta, cada partida promete ser única y llena de sorpresas. ¡Desata tu imaginación, perfecciona tus habilidades de construcción y vive la magia de Minecraft en el mundo real con este increíble set LEGO de 8.5"" de ancho!",4187811,Lego Minecraft Cámara de Juicio
"Deleita a los amantes de la música, el arte y el diseño con el set de juego LEGO® Creator 3 en 1 Tocadiscos con Flores (31172). Un tocadiscos de estilo retro para niños y niñas a partir de 8 años, que incluye un plato giratorio móvil, un brazo fonocaptor móvil con aguja y dos discos, además de flores extraíbles.Los fans de LEGO pueden elegir entre tres opciones diferentes para construir sets de música: un tocadiscos con flores; una radio de juguete de estilo retro con botones móviles, antena ajustable y flores extraíbles; o un micrófono clásico giratorio con un soporte para flores. Cada modelo puede usarse para un divertido juego de rol o como un atractivo elemento decorativo para el hogar.Los sets LEGO Creator 3 en 1 son el regalo perfecto para niños y ofrecen 3 opciones de construcción diferentes en cada caja. Estos sets de juguetes reconstruibles 3 en 1 les permiten disfrutar del juego imaginativo y ofrecen una impresionante gama que despierta sus mayores pasiones, como vehículos, animales y casas. Ten en cuenta que las maquetas del mismo set no se pueden construir simultáneamente. Incluye 366 piezas. Ancho aproximado: 12"". Colección: Lego Creator.","Sumérgete en el encanto retro con el set LEGO® Creator 3 en 1 Tocadiscos con Flores, un fascinante juguete que despertará la imaginación de niños y niñas desde los 8 años. Con 366 piezas, este versátil conjunto te permite construir un tocadiscos de estilo vintage con plato giratorio, brazo móvil y dos discos, una radio retro con botones y antena ajustable, o un micrófono clásico giratorio. Las flores extraíbles añaden un toque de color y creatividad a cada creación de 12"" de ancho. Ya sea como elemento decorativo o para divertidos juegos de rol, este set musical inspirará horas de diversión y aprendizaje, convirtiéndose en el regalo perfecto para pequeños amantes del arte y el diseño.",4187810,Lego Creator Tocadiscos con Flores
"Deleita a los niños y niñas amantes de los animales a partir de 8 años con el fantástico set de juguetes LEGO® Creator 3 en 1 Animales Salvajes: Flamenco Rosa (31170). El flamenco rosa de juguete cuenta con una cabeza articulada y se posa sobre una pequeña base cubierta de plantas para que los niños disfruten de horas de juego imaginativo o lo expongan como decoración.Este set LEGO ofrece a los niños tres opciones de construcción diferentes con los mismos ladrillos: un flamenco rosa de juguete con cabeza articulada sobre una base cubierta de plantas, una cacatúa rosa de juguete articulada que gira la cabeza 360 grados, o un adorable ajolote rosa de juguete articulado con plantas subacuáticas. Los tres simpáticos juguetes LEGO transformables de animales son regalos divertidos para niños.Los sets LEGO Creator 3 en 1 inspiran la imaginación de los niños con 3 modelos diferentes para armar en cada caja. Les encantará construir, reconstruir y volver a construir. Los sets 3 en 1 ofrecen una gama de modelos que despiertan las mayores pasiones de los niños, incluyendo vehículos superrápidos, animales asombrosos y casas detalladas. Los modelos no se pueden construir simultáneamente. Incluye 288 piezas. Colección: Lego Creator.","Sumérgete en un mundo de imaginación y diversión con el set LEGO Creator 3 en 1 Animales Salvajes: Flamenco Rosa. Este versátil juego de 288 piezas ofrece tres fascinantes opciones de construcción: un elegante flamenco de cabeza articulada, una vibrante cacatúa que gira 360 grados o un adorable ajolote con plantas subacuáticas. Ideal para niños a partir de 8 años, este set estimula la creatividad y el juego imaginativo, permitiéndoles construir, reconstruir y explorar el mundo animal. Ya sea como decoración o como compañero de aventuras, estos simpáticos animales rosados brindarán horas de diversión y aprendizaje, convirtiéndose en el regalo perfecto para pequeños amantes de la naturaleza.",4187809,Lego Creator Animales Salvajes Flamenco Rosado
"La Caja Creativa LEGO® Classic Cool (11043) está repleta de modelos para construir y jugar que inspirarán la imaginación de los niños. Con 510 ladrillos de colores, además de ruedas y otros elementos especiales, niños y niñas a partir de 5 años podrán crear y combinar una amplia variedad de juguetes a la moda, así como sus propias creaciones imaginativas.Muchos ladrillos de colores, además de ojos, ruedas y bisagras, maximizan la jugabilidad de este versátil set. Los juguetes para construir incluyen un mando de juego, un dinosaurio con gafas, un teléfono móvil que se abre y se cierra, una patineta, un camión monstruo y un kit de DJ con auriculares. Los modelos se pueden combinar y personalizar para una diversión aún mayor, como ponerle los auriculares al dinosaurio y el dinosaurio a la patineta. Incluye 510 piezas. Ancho aproximado: 3"". Colección: Lego Classic.","Despierta la imaginación y la creatividad de los más pequeños con la Caja Creativa Genial de LEGO Classic. Este fascinante set de 510 piezas coloridas, que incluye ruedas, ojos y bisagras, ofrece un mundo de posibilidades para niños a partir de 5 años. Construye un divertido mando de juego, un dinosaurio con gafas, un teléfono móvil que se abre y cierra, una patineta, un camión monstruo o un kit de DJ con auriculares. ¡La diversión no tiene límites! Combina y personaliza los modelos para crear escenas únicas y sorprendentes. Con un ancho aproximado de 3 pulgadas, esta caja es el regalo perfecto para estimular la imaginación y el juego creativo en los niños.",4187808,Lego Classic Caja Creativa Genial
"¡La Caja de Magia Transparente LEGO® Classic (11040) ofrece diversión creativa para rato! Con 340 ladrillos de vivos colores, muchos de ellos transparentes, además de elementos especiales variados, este set para construir y exponer da alas a la creatividad de las niñas y los niños con encantadores modelos e infinito juego imaginativo.Los peques empiezan construyendo un corazón, un fantasma, una sirena, una estrella y un unicornio de juguete. A medida que adquieran confianza, avanzarán hacia una nave espacial, una nube, una estrella fugaz, un pájaro, un narval, un helado y una flor. Después, podrán disfrutar de diversión a lo grande dando forma a un monumental castillo con dragón de juguete. Los ladrillos translúcidos, las piezas que representan ojos y bocas, y los ladrillos a modo de colgador para exponer las creaciones aportarán destellos, luminosas transparencias y aún más diversión creativa a los modelos de los peques. Incluye 340 piezas. Ancho aproximado: 3.1"". Colección: Lego Classic.","Descubre la magia de la transparencia con el set LEGO Classic Ladrillos Transparentes, una caja llena de posibilidades para niños a partir de 5 años. Con 340 piezas de colores vivos, incluyendo elementos especiales y ladrillos translúcidos, este kit despierta la imaginación y fomenta la creatividad. Desde adorables figuras como corazones y unicornios, hasta emocionantes construcciones como naves espaciales y castillos con dragones, las opciones son infinitas. Los detalles como ojos, bocas y colgadores para exhibir las creaciones añaden un toque especial. Con un ancho aproximado de 3.1"", este set de la colección LEGO Classic promete horas de diversión, aprendizaje y juego imaginativo para los pequeños constructores.",4187807,Lego Classic Ladrillos Transparentes
"Lleva la fantasía y la diversión de Moana y Moana 2 de Disney al mundo real con este juguete articulado LEGO® ǀ Disney Moana 2 Heihei (43272). Los fanáticos de los animales, los amantes del cine y los niños de 9 años en adelante disfrutarán creando el colorido modelo construible de su compañero pollo, con cabeza giratoria, alas y plumas de cola articuladas, y luego poniéndolo de pie o colocándolo en el soporte, completo con flores decorativas y una placa con su nombre.Este set de construcción Disney para niñas, niños y fans será un genial juguete de fantasía construible del que todos hablarán, a la vez que ofrece a niños mayores y adultos fans de Disney una construcción más elaborada. Es ideal para regalar, un artículo de exposición genial y compatible con otros sets de construcción LEGO ǀ Disney (se venden por separado) de la gama. Los constructores también disfrutan de una experiencia de construcción intuitiva con la app LEGO Builder, donde pueden ampliar y rotar modelos en 3D, guardar sets y seguir su progreso. Incluye 566 piezas. Colección: Lego Disney.","Sumérgete en el mágico mundo de Moana con este encantador set LEGO Disney de Hei Hei, el adorable compañero emplumado de nuestra valiente heroína. Con 566 piezas, este juguete articulado permite a niños desde 9 años y fans de todas las edades dar vida al colorido gallo, recreando sus divertidas expresiones gracias a su cabeza giratoria y sus alas y plumas móviles. Construye a Hei Hei y colócalo en su vistoso soporte con flores decorativas, creando una pieza de exhibición única que despertará sonrisas y avivará la imaginación. Este set no solo ofrece horas de diversión creativa, sino que también se convierte en un tesoro para coleccionistas, complementando perfectamente otros sets de la línea LEGO Disney.",4187806,Lego Disney Hei Hei Moana 2
"Te esperan emocionantes persecuciones policiales con el set de vehículos LEGO® City Persecución Policial Todoterreno (60449). Diseñado para niños a partir de 6 años, este divertido juego incluye un todoterreno policial, un quad y un dron, además de la potente camioneta de un ladrón y una caja fuerte robada llena de lingotes de oro y diamantes de juguete. Solo tienes que añadir a los 2 policías, los 2 ladrones y una emboscada con una roca rodante para disfrutar de horas de aventuras llenas de acción.Este juego de construcción de juguetes policiales incluye una guía de construcción impresa e instrucciones digitales paso a paso en la aplicación LEGO Builder, un compañero de construcción digital con herramientas intuitivas de zoom y rotación que permiten a los niños visualizar los modelos desde todos los ángulos mientras construyen.Los juguetes LEGO City incluyen vehículos geniales, estructuras realistas y divertidos personajes que inspiran una creatividad sin límites. Los niños pueden combinar este set LEGO City con otros de la gama LEGO City (se venden por separado) para ampliar su mundo de posibilidades de juego. Contiene 467 piezas. Incluye 467 piezas. Ancho aproximado: 5.5"". Colección: Lego City.","Sumérgete en la acción policial más emocionante con el set Lego City ""Persecución Coche de Policía Todoterreno"". Este asombroso conjunto de 467 piezas transportará a niños desde 6 años a un mundo de adrenalina y aventuras sin límites. Incluye un potente todoterreno policial, un ágil quad, un dron de vigilancia y hasta la camioneta de los astutos ladrones con su botín de lingotes y diamantes. Con 4 minifiguras y una roca rodante para emboscadas, este set desatará la imaginación de los pequeños, permitiéndoles crear emocionantes persecuciones y rescates. Las instrucciones digitales en la app LEGO Builder harán que armar este set sea tan divertido como jugar con él.",4187675,Lego City Persecución Coche de Policía Todoterreno
"Sumerge a los pequeños en la diversión de su programa favorito de Disney Junior con el juguete de construcción Mickey Mouse Clubhouse & Car (10454). Los niños en edad preescolar a partir de 2 años se unen a Toodles para enviar a Mickey Mouse en misiones por la Casa Club mientras giran la ruleta Mousekedoer y eligen una tarea para que la complete.Este juguete de clasificación construible para niños pequeños ayuda a los preescolares a aprender a través del juego creativo. Pueden turnarse con su adulto para girar la rueda y luego usar sus habilidades de emparejamiento para unir las imágenes con los accesorios de colores. Este set de juego de vehículos construibles incluye tareas como ajustar el coche de juguete construible con la llave inglesa o limpiarlo con el cubo y el cepillo. Los pequeños ejercitan la motricidad fina mientras exploran características atractivas, como la ventana con bisagras, el tobogán construible y las ruedas giratorias del coche. Este juguete de construcción LEGO® DUPLO® para niños inspira a los pequeños a usar la imaginación y la autoexpresión para inventar sus propias aventuras creativas en la Casa de Mickey Mouse. Incluye 27 piezas. Ancho aproximado: 9"". Colección: Lego DUPLO. Personaje: Mickey Mouse.","Sumérgete en el mágico mundo de Mickey Mouse con este encantador set LEGO DUPLO de la Casa Club. Diseñado para pequeños aventureros desde 2 años, este juguete de 27 piezas despierta la imaginación y desarrolla habilidades motoras. Los niños adorarán girar la ruleta Mousekedoer junto a Toodles, enviando a Mickey en divertidas misiones. Con un coche construible, ventana con bisagras y tobogán, cada rincón invita a la exploración. Las tareas como ajustar o limpiar el vehículo fomentan el juego de roles y el aprendizaje. ¡Prepárate para vivir emocionantes aventuras en este colorido set de 9 pulgadas de ancho que hará volar la creatividad de los más pequeños!",4187674,Lego Duplo la Casa Club de Mickey Mouse
"¡Construye la majestuosa Pirámide con el set de 210 piezas de la serie Brick Trick Travel! Perfecto para pequeños y grandes fans de los viajes y la construcción,este set incluye ladrillos cerámicos auténticos y elementos decorativos de madera y cartón. Con hasta un 97% de materiales naturales,es una opción ecológica y sostenible. Gracias a su adhesivo especial soluble en agua,podrás montar y desmontar tu creación tantas veces como quieras,usando solo una gota para unir las piezas. ¡Un regalo ideal para niños desde los 7 años y todos los amantes de los bloques de construcción que sueñan con grandes monumentos! Incluye 210 piezas. Ancho aproximado: 8.94"".","Embárcate en una emocionante aventura arquitectónica con el set ""Pirámide 210 Piezas"" de Brick Trick Travel. Este fascinante juego de construcción, ideal para exploradores desde los 7 años, te transportará al antiguo Egipto con sus 210 piezas de auténticos ladrillos cerámicos y encantadores detalles en madera y cartón. Con un 97% de materiales naturales, no solo construyes historia, sino que cuidas el planeta. Gracias a su ingenioso adhesivo soluble en agua, podrás erigir y reinventar tu majestuosa pirámide de 8.94"" de ancho una y otra vez, desatando tu creatividad sin límites. ¡Descubre el arquitecto que llevas dentro y crea monumentos que desafiarán el tiempo!",4188145,Piramide 210 Piezas
